# origin.tsv - where each function in the replacement came from.
#
# One tab-separated row per correspondence. A function may have several rows
# when it covers more than one original, or when one original splits across
# the core seam. See origin.txt for what the kinds mean and for the entries
# that are not one to one.
#
# THE ADDRESS IS THE DURABLE KEY, not the name: the binaries are immutable
# primary evidence and are never rebuilt, so an address cannot rot, while a
# Ghidra name can still be changed by later analysis.
#
# Checked and sorted by tools/originmap.py --check / --fix.
#
# function	file	kind	binary	addr	original
core_controller_reset	core.c	port	wishk201.sys	00015850	drv_SendControllerReset
core_decode	core.c	part	wishk201.sys	00015150	drv_BuildJoystickReport
core_decode_buttons	core.c	part	wishk201.sys	00015150	drv_BuildJoystickReport
core_decode_stick	core.c	part	wishk201.sys	00015150	drv_BuildJoystickReport
core_effect_axis_value	core.c	part	wishk201.sys	00013f10	drv_EffectEvaluate
core_effect_claim	core.c	port	wishk201.sys	00019670	drv_TryClaimVendorSlot
core_effect_complete	core.c	part	wishk201.sys	00013ac0	drv_EffectTick
core_effect_condition_update	core.c	part	wishk201.sys	00013f10	drv_EffectEvaluate
core_effect_evaluate	core.c	port	wishk201.sys	00013f10	drv_EffectEvaluate
core_effect_intensity	core.c	part	wishk201.sys	00013f10	drv_EffectEvaluate
core_effect_issue	core.c	part	wishk201.sys	000193df	drv_SendVendorRequest
core_effect_keepalive	core.c	port	wishk201.sys	00013ba0	drv_EffectKeepAlive
core_effect_kick	core.c	port	wishk201.sys	00013a60	drv_EffectKick
core_effect_on_pak_change	core.c	port	wishk201.sys	00013d00	drv_EffectOnPakChange
core_effect_on_pak_insert	core.c	port	wishk201.sys	00013d50	drv_EffectOnPakInsert
core_effect_on_pak_remove	core.c	port	wishk201.sys	00013d70	drv_EffectOnPakRemove
core_effect_pulse	core.c	part	wishk201.sys	00013f10	drv_EffectEvaluate
core_effect_ring_reset	core.c	part	wishk201.sys	00013d90	drv_EffectSendUpdate
core_effect_run	core.c	port	wishk201.sys	00013a80	drv_EffectRun
core_effect_run_deferred	core.c	part	wishk201.sys	00019620	drv_NextDeferredWork
core_effect_run_deferred	core.c	port	wishk201.sys	000196e0	drv_RunDeferredWork
core_effect_send_bitmap	core.c	part	wishk201.sys	00013ac0	drv_EffectTick
core_effect_send_periodic	core.c	port	wishk201.sys	00013c50	drv_EffectSendPeriodic
core_effect_send_update	core.c	port	wishk201.sys	00013d90	drv_EffectSendUpdate
core_effect_tick	core.c	port	wishk201.sys	00013ac0	drv_EffectTick
core_effect_update_complete	core.c	port	wishk201.sys	00013e70	drv_EffectUpdateComplete
core_effect_wave	core.c	part	wishk201.sys	00013f10	drv_EffectEvaluate
core_effect_window	core.c	part	wishk201.sys	00013ac0	drv_EffectTick
core_effect_window	core.c	part	wishk201.sys	00013f10	drv_EffectEvaluate
core_emit	core.c	part	wishk201.sys	00014de8	drv_SubmitHidReport
core_init	core.c	new	-	-	-
core_n64_transaction	core.c	port	wishk201.sys	000137c0	drv_N64Transaction
core_on_raw_packet	core.c	part	wishk201.sys	00015150	drv_BuildJoystickReport
core_pack_joystick	core.c	part	wishk201.sys	00015150	drv_BuildJoystickReport
